"Brand","Optus Model Name","Telstra Model Name","Model Info","Year","Chipset","TAC","Optus Status","Telstra Status","Vodafone Status"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35030497","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35046638","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35051530","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35065146","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35086823","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35122795","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35137943","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35141849","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35157833","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35159638","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35164514","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35169258","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35181169","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35263893","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35281219","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35338956","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35392760","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35421633","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35456676","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35460271","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35460573","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35474155","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35502141","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35506064","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35506765","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35555469","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35561339","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35590416","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35598113","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35609787","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35629649","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35631263","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35635166","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35664930","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35667570","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35680840","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35706788","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35728432","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35740730","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35801732","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35849451","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35857414","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35906444","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","N/A","","2025","","35919286","Device is NOT Blocked","Not Found","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35936730","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2025","","35993642","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16 Pro","","2024","","35298724","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16 Pro","","2024","","35544131","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16 Pro","","2024","","35752839","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16E","Apple iPhone 16e","","2024","","35359126","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35006781","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35009614","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35010872","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35040999","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35052389","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35057241","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35057607","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35069542","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35091250","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35097040","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35103779","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35110451","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35116604","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35136154","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35136606","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35142108","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35148600","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35161332","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35165595","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35184679","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35188972","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35213057","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35231540","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35235635","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35238373","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35238971","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35254982","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35264135","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35274536","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35286497","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35291365","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35293112","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35309946","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35314959","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35332483","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35501134","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35501147","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35506754","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35513569","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35513832","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35526512","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35530018","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35535043","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35544552","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35550672","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35556484","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35568866","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35570057","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35570642","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35576229","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35578382","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35592335","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35595456","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35598885","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35599788","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35630886","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35633949","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35641575","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35990632","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35992229","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35995646","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35995935","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35997460","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35652545","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35654162","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35672638","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35674460","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35676068","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35686456","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35691063","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35692622","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35700233","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35700319","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35703137","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35710077","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35712128","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35719289","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35719659","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35720598","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35723331","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35729418","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35730961","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35731349","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35734396","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35740375","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35743593","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35749241","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35750733","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35750779","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35752580","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35757312","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35758347","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35759087","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35762631","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35766653","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35772826","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35784937","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35798268","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35798812","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35802969","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35813239","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35339381","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35339716","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35348462","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35355824","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35356964","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35360097","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35374613","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35387725","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35391140","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35399565","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35403922","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35421097","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35426795","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35427635","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35431428","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35433112","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35442323","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35446142","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35448038","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35461444","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35466167","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35470876","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35476024","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35486869","Device is NOT Blocked","Not Blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35490090","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35824552","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35836063","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35840981","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35853650","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35857852","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35859436","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35862528","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35863762","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35870181","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35879896","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35900765","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35922238","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","","2024","","35929624","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35934024","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35944796","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 Pro Max","A3296","2024","","35947673","Device is NOT Blocked","Not Blocked","Not Blocked - AMTA"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35962113","Device is NOT Blocked","TAC Not blocked","Unknown"
"APPLE","APPLE IPHONE 16 PRO MAX","Apple iPhone 16 ProMax","","2024","","35964017","Device is NOT Blocked","TAC Not blocked","Unknown"
